,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
97,113,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,15323-35-0,Phantolide,0.0031,0.00104,0.00588,0,0.8672139
98,114,Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,116-66-5,Musk moskene,0.00226,0.000757,0.00429,0,0.8518034
99,115,Cc1c(Cl)c(Br)c(Br)c(Br)c1Br,39569-21-6,Tetrabromo-o-chlorotoluene,3.51e-05,1.18e-05,6.67e-05,0,0.6996708
100,116,Cc1c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,82657-04-3,Bifenthrin,0.000401,0.000135,0.000762,0,0.5522991
101,117,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,128-37-0,"4-Methyl-2,6-di-t-butylphenol",0.000669,0.000224,0.00127,0,0.9340944
102,118,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,1506-02-1,Tonalide,0.00768,0.00258,0.0146,0,0.72968644
103,119,Cc1cc(C)c(C)c(C)c1C,700-12-9,Pentamethylbenzene,7.14e-05,2.4e-05,0.000136,0,0.7438427
104,120,Cc1cc(C)c2ccccc2c1,575-41-7,"1,3-Dimethylnaphthalene",0.000301,0.000101,0.000571,0,0.80619586
105,121,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,121552-61-2,Cyprodinil,0.0012,0.000404,0.00229,0,0.9308338
106,122,CC(=O)C1(C)CC2=C(CCCC2(C)C)CC1C,54464-57-2,Isocyclemone E,0.0,0.0,0.0,0,0.94782656
107,123,Cc1ccc(C)c2ccccc12,571-58-4,"1,4-Dimethylnaphthalene",0.000201,6.73e-05,0.000381,0,0.79431754
108,124,Cc1ccc(OP(=O)([O-])[O-])c(C)c1C,56444-79-2,Trimethylphenyl phosphate,0.00293,0.000985,0.00557,0,0.78512496
109,125,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,78-32-0,Tricresyl  phosphate,0.0114,0.00381,0.0216,0,0.88408095
110,126,Cc1ccc2c(ccc3ccccc32)c1,2531-84-2,2-Methylphenanthrene,0.00562,0.00188,0.0107,0,0.78396654
111,127,Cc1ccc2cc(C)ccc2c1,28804-88-8,"2,6-Dimethylnaphthalene",0.000334,0.000112,0.000635,0,0.6758029
112,128,Cc1ccc2ccc3ccc(C)cc3c2c1,1576-67-6,"3,6-Dimethylphenanthrene",0.00164,0.00055,0.00311,0,0.74386847
113,129,Cc1ccc2ccccc2c1C,573-98-8,"1,2-Dimethylnaphthalene",0.000217,7.29e-05,0.000413,0,0.886071
114,130,Cc1cccc2c1ccc1ccccc12,832-69-9,1-Methylphenanthrene,0.00316,0.00106,0.006,0,0.82310414
115,131,Cc1cccc2cccc(C)c12,569-41-5,"1,8-Dimethylnaphthalene",0.000184,6.17e-05,0.000349,0,0.92457366
116,132,Cc1ccccc1-c1c[nH]nn1,29878-31-7,Tolyltriazole,0.000341,0.000115,0.000648,0,0.93508214
117,133,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,78-30-8,Tri-o-cresyl phosphate,0.141,0.0472,0.267,0,0.8421364
118,134,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,1222-05-5,Galaxolide,0.0071,0.00238,0.0135,0,0.8613036
119,135,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,77-40-7,Bisphenol B,1.19e-05,3.98e-06,2.25e-05,0,0.85034895
120,136,CCC=CCC=CCC=CCC=CC/C=C\CCCC(=O)OC,2734-47-6,"Methyl cis-5,8,11,14,17-eicosapentaenoate",0.00015,5.05e-05,0.000286,0,0.9550178
121,137,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,51218-45-2,Metolachlor,8.36e-06,2.8e-06,1.59e-05,0,0.93617433
122,138,CCCC[Sn](Cl)(CCCC)CCCC,1461-22-9,Tributyltin chloride,3.01e-07,1.01e-07,5.71e-07,0,0.9019451
123,139,CCCC[Sn](Cl)(Cl)CCCC,683-18-1,Dibutyltin dichloride,0.138,0.0462,0.261,0,0.9122161
124,140,CCCC[Sn](Cl)(Cl)Cl,1118-46-3,Monobutyltin  trichloride,0.244,0.0819,0.464,0,0.69671845
125,141,CCCCC(CC)CO,104-76-7,2-Ethyl-1-hexanol,0.000368,0.000123,0.000698,0,0.85285896
