canonical_smiles,label_ACE2,DataType
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,1.0,L1000
O=C1c2ccccc2C(Cc2ccncc2)(Cc2ccncc2)c2ccccc21,1.0,L1000
CCN1c2ccccc2NC2N=C(OC)C(c3ccccc3)C21,1.0,L1000
CCCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)O,1.0,L1000
O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2ccc3c(c2)OCO3)O1)Nc1ccc(-c2ccccc2)cc1,1.0,L1000
O=C1Nc2ccc([N+](=O)[O-])cc2C12NNc1ccccc1O2,1.0,L1000
NC(=O)c1ncn(C2OC(CO[PH](=O)(=O)O)C(O)C2O)c1N,1.0,L1000
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,1.0,L1000
COc1cc(/C=C/C(=O)N2C(=O)C=CCC2c2cccs2)cc(OC)c1OC,1.0,L1000
C/C=C/c1ccc([C@@H]2[C@H](CO)N3C(=O)CN(Cc4ccccc4)C[C@@H]23)cc1,1.0,L1000
O=C(O)Cc1cc2ccccc2nc1C(=O)O,1.0,L1000
Cc1ccc(N=c2[nH]c(N3CCCC3)nc(=NCCO)[nH]2)cc1,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)CN2CCOCC2)Oc2ncc(-c3cncnc3)cc2C1=O,1.0,L1000
COC(=O)C1=C(C)N=C(C)C([N+](=O)[O-])[C@H]1c1ccccc1C(F)(F)F,1.0,L1000
O=C(NCCc1nc2ccccc2n1C/C=C/c1ccccc1)C1CCCCC1,1.0,L1000
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1.0,L1000
CC(C)c1ccc(Cn2ccc3c4c(=N)[nH]c(=NC5CC5)[nH]c4ccc32)cc1,1.0,L1000
O=c1[nH]cc(F)c(=O)[nH]1,1.0,L1000
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,1.0,L1000
N#Cc1cccc(-c2ccc([C@H]3[C@H](CO)N4CCCCN(S(=O)(=O)c5ccccc5)C[C@@H]34)cc2)c1,1.0,L1000
COc1ccc(Sc2ccc(NC(=O)c3ccccc3Cl)cc2C#N)cc1,1.0,L1000
O=C1Nc2ccc([N+](=O)[O-])cc2C12NNc1ccccc1O2,1.0,L1000
Oc1ccc(O)c2c1c1c3ccccc3c2c2ccccc21,1.0,L1000
CN1C(=O)c2cc(NC(=O)c3ccc(F)c(F)c3)ccc2OC[C@H]2O[C@H](CC(=O)N3CCOCC3)CC[C@H]21,1.0,L1000
O=C(C[C@@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2C(=O)c2ccccc2)O1)NCCCN1CCOCC1,1.0,L1000
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(c8coc(O)c8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1.0,L1000
CN(C)Cc1c(C(=O)NCCOc2ccc(C(O)=NO)cc2)oc2ccccc12,1.0,L1000
CCc1ccccc1OC[C@@H](O)CN[C@H]1CCCc2ccccc21,1.0,L1000
COc1cc(N=c2nc(N=c3ccc4c([nH]3)NC(=O)C(C)(C)O4)c(F)c[nH]2)cc(OC)c1OC,1.0,L1000
Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,1.0,L1000
N#Cc1ccc(C(=O)Oc2coc(CSc3ncccn3)cc2=O)cc1,1.0,L1000
C=C(C)C(=O)OC,1.0,Tox
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(C(F)(F)F)cc2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,1.0,L1000
CN1C(=O)c2cc(NC(=O)Cc3cccs3)ccc2OC[C@@H]2O[C@@H](CC(=O)NCCc3ccncc3)CC[C@@H]21,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc(C(F)(F)F)c2)OCc2cn(nn2)CCCC1=O,1.0,L1000
